year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,kia,sorento,lx,suv,automatic,5xyktca69fg566472,ca,5,16639.0,white,black,kia motors america  inc,20500,21500,16-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca69fg561319,ca,5,9393.0,white,beige,kia motors america  inc,20800,21500,16-12-2014
2014,bmw,3 series,328i sulev,sedan,automatic,wba3c1c51ek116351,ca,45,1331.0,gray,black,financial services remarketing (lease),31900,30000,15-01-2015
2015,volvo,s60,t5,sedan,automatic,yv1612tb4f1310987,ca,41,14282.0,white,black,volvo na rep/world omni,27500,27750,29-01-2015
2014,bmw,6 series gran coupe,650i,sedan,automatic,wba6b2c57ed129731,ca,43,2641.0,gray,black,financial services remarketing (lease),66000,67000,18-12-2014
2015,nissan,altima,2.5 s,sedan,automatic,1n4al3ap1fn326013,ca,1,5554.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15350,10900,30-12-2014
2014,bmw,m5,base,sedan,automatic,wbsfv9c51ed593089,ca,34,14943.0,black,black,the hertz corporation,69000,65000,17-12-2014
2014,chevrolet,cruze,1lt,sedan,automatic,1g1pc5sb2e7128460,ca,2,28617.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,11900,9800,16-12-2014
2014,audi,a4,2.0t premium plus quattro,sedan,automatic,wauffafl3en030343,ca,42,9557.0,white,black,audi mission viejo,32100,32250,18-12-2014
2014,chevrolet,camaro,lt,convertible,automatic,2g1fb3d37e9218789,ca,3,4809.0,red,black,d/m auto sales inc,26300,17500,20-01-2015
2014,audi,a6,3.0t prestige quattro,sedan,automatic,wauhgafc0en062916,ca,48,14414.0,black,black,desert auto trade,47300,49750,16-12-2014
2015,kia,optima,lx,sedan,automatic,5xxgm4a73fg353538,ca,48,2034.0,red,tan,kia motors finance,15150,17700,16-12-2014
2015,ford,fusion,se,sedan,automatic,3fa6p0hdxfr145753,ca,2,5559.0,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350,12000,13-01-2015
2015,kia,sorento,lx,suv,automatic,5xyktca66fg561407,ca,5,14634.0,silver,black,kia motors america  inc,20600,21500,16-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sbxe7120097,ca,34,15686.0,blue,black,avis rac/san leandro,13900,10600,16-12-2014
2015,nissan,altima,2.5 s,sedan,automatic,1n4al3ap5fc124223,ca,2,11398.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14750,14100,23-12-2014
2015,hyundai,sonata,se,sedan,automatic,5npe24af4fh001562,ca,34,8311.0,red,—,avis tra,15200,4200,16-12-2014
2014,audi,q5,2.0t premium plus quattro,suv,automatic,wa1lfafpxea085074,ca,49,7983.0,white,black,audi north scottsdale,37100,40000,18-12-2014
2014,chevrolet,camaro,ls,coupe,automatic,2g1fa1e39e9134494,ca,17,13441.0,black,black,wells fargo dealer services,17750,17000,30-12-2014
2014,bmw,6 series,650i,convertible,automatic,wbayp9c53ed169260,ca,34,8819.0,black,black,the hertz corporation,68000,67200,17-12-2014
2014,bmw,5 series,528i,sedan,automatic,wba5a5c51ed501631,ca,29,25969.0,black,black,financial services remarketing (lease),34200,30000,03-02-2015
2014,chevrolet,camaro,lt,convertible,automatic,2g1fb3d31e9134662,ca,34,33450.0,black,black,avis rac/san leandro,20100,14700,16-12-2014
2015,audi,a3,1.8 tfsi premium,sedan,automatic,wauacgff7f1002327,ca,49,5826.0,gray,black,audi north scottsdale,24000,23750,18-12-2014
2014,bmw,6 series,650i,convertible,automatic,wbayp9c57ed169262,ca,38,10736.0,black,black,the hertz corporation,67000,65000,06-01-2015
2015,hyundai,sonata,se,sedan,automatic,5npe24af4fh038482,ca,34,9281.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15150,8500,16-12-2014
